indent,taxonID,rank,A id,A name,B id,B name,relation,other id,other name,note,reason,changed_props,unchanged
————————————,8738,species,-2419947,A.Cheirogaleus crossleyi,EOL-000000640896,B.Cheirogaleus crossleyi,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8739,species,-2419950,A.Cheirogaleus major,EOL-000000640897,B.Cheirogaleus major,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8740,species,-2419946,A.Cheirogaleus thomasi,EOL-000000640898,B.Cheirogaleus thomasi,=,,,,scientificName,source; taxonomicStatus,shared tip
———————————,8741,genus,-2382379,A.Microcebus,EOL-000000640899,B.Microcebus,=,,,moved,canonicalName,source; taxonomicStatus; number_of_children; scientificName,
————————————,8742,species,-2419970,A.Microcebus myoxinus,EOL-000000640900,B.Microcebus myoxinus,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8743,species,-2419964,A.Microcebus lehilahytsara,EOL-000000640901,B.Microcebus lehilahytsara,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8744,species,-2419979,A.Microcebus berthae,EOL-000000640902,B.Microcebus berthae,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8745,species,-2419959,A.Microcebus murinus,EOL-000000640903,B.Microcebus murinus,=,,,,scientificName,source; taxonomicStatus; number_of_children,shared tip
————————————,8746,species,,,EOL-000000640904,B.Microcebus manitatra,,,,,,,
————————————,8747,species,-2419976,A.Microcebus tanosi,EOL-000000640905,B.Microcebus tanosi,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
————————————,8748,species,-2419973,A.Microcebus margotmarshae,EOL-000000640906,B.Microcebus margotmarshae,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8749,species,-2419967,A.Microcebus mamiratra,EOL-000000640907,B.Microcebus mamiratra,=,,,,scientificName,source; taxonomicStatus,shared tip
————————————,8750,species,,,EOL-000000640908,B.Microcebus ganzhorni,,,,,,,
————————————,8751,species,-2419975,A.Microcebus simmonsi,EOL-000000640909,B.Microcebus simmonsi,=,,,,canonicalName,source; taxonomicStatus; scientificName,shared tip
